thumbnailUrl,logoUrl,name,date,city,state,eventType
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/669/thumb/MLHbacksplasj_%281%29.png?1687889284,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/669/thumb/MLHlogo_%282%29.png?1687889284,DivHacks 2023,Sep 23rd - 24th,New York City,New York,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/717/thumb/NJIT.jpg?1692038985,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/717/thumb/GirlHacks_2022_Logo.png?1692038985,GirlHacks,Sep 23rd - 24th,Newark,New Jersey,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/718/thumb/HM_back.jpg?1692039206,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/718/thumb/Image.jpeg?1692039205,HackMTY,Sep 23rd - 24th,"Monterrey, Nuevo  León",Mexico,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/645/thumb/hacuiowa_bg.png?1687290270,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/645/thumb/hackuiowa-logo.png?1687290269,HACKUIOWA,Sep 23rd - 24th,Iowa City,Iowa,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/673/thumb/hackUMBC_backsplash_%281%29.png?1688400602,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/673/thumb/hackUMBC_backsplash_%281%29.png?1688400601,hackUMBC,Sep 23rd - 24th,Baltimore,Maryland,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/721/thumb/OwlHacksBackSplash.png?1692915730,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/721/thumb/OwlHacks100.png?1692915730,Owlhacks,Sep 23rd - 24th,Philadelphia,Pennsylvania,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/658/thumb/WhatsApp_Image_2023-06-28_at_6.26.54_PM.jpeg?1688130938,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/658/thumb/WhatsApp_Image_2023-06-28_at_6.26.44_PM.jpeg?1688130938,KU HackFest 2023,Sep 29th - Oct 1st,Kathmandu,Nepal,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/679/thumb/Event_Hero_Image.jpg?1689663383,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/679/thumb/Icon.jpg?1689663382,Open Source Hackfest,Sep 29th - Oct 1st,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/720/thumb/Event_Background.png?1692811699,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/720/thumb/Event_Logo_Square.png?1692811698,Opin Hacks,Sep 29th - Oct 1st,Durg,"Chattisgarh, IN",In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/749/thumb/6496dc7c45d9038358338450_Element_16-p-500.png?1695670377,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/749/thumb/6496dc7c45d9038358338450_Element_16-p-500.png?1695670376,IdeaHack! x Junction,Oct 5th - 6th,Vallendar,Germany,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/743/thumb/hackmorelos_300x300.png?1695748143,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/743/thumb/hackmorelos_100x100.png?1695748143,Hack Morelos 12th Editon,Oct 6th - 7th,Cuernavaca,"Morelos, Mexico",In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/675/thumb/Event-Background.png?1688649948,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/675/thumb/KH-Event_Logo.png?1688649948,KnightHacks,Oct 6th - 8th,Orlando,Florida,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/722/thumb/social-instagram.jpg?1694602275,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/722/thumb/event-icon.jpg?1694602259,TechTogether Online,Oct 6th - 8th,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/734/thumb/Change_the_colors___Add_your_logo!_%2816%29.png?1694611233,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/734/thumb/Change_the_colors___Add_your_logo!_%2816%29.png?1694611233,HackRU,Oct 7th - 8th,New Brunswick,New Jersey,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/634/thumb/HackUTA_backsplash.jpg?1686945116,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/634/thumb/HackUTA_Logo.jpg?1686945116,HackUTA 2023,Oct 7th - 8th,Arlington,Texas,In-Person Only
